County,County_Code,county,code,three_regions,lhd_regions,prep_coalitions,flu_regions
Alamance,1,Alamance,1,Piedmont,5,mcrhc,4
Alexander,3,Buncombe,21,Western,4,thpc,7
Alleghany,5,Burke,23,Western,3,thpc,5
Anson,7,Caldwell,27,Piedmont,6,mhpc,7
Ashe,9,Catawba,35,Western,3,thpc,5
Avery,11,Chatham,37,Western,2,mahpc,6
Beaufort,13,Craven,49,Eastern,10,ehpc,1
Bertie,15,Cumberland,51,Eastern,9,ehpc,1
Bladen,17,Davidson,57,Eastern,8,shpr,3
Brunswick,19,Duplin,61,Eastern,8,shpr,2
Buncombe,21,Durham,63,Western,2,mahpc,6
Burke,23,Edgecombe,65,Western,2,mhpc,6
Cabarrus,25,Forsyth,67,Piedmont,4,mhpc,7
Caldwell,27,Franklin,69,Western,2,thpc,6
Camden,29,Greene,79,Eastern,9,ehpc,1
Carteret,31,Guilford,81,Eastern,10,ehpc,2
Caswell,33,Halifax,83,Piedmont,5,dhpc,5
Catawba,35,Harnett,85,Western,4,mhpc,7
Chatham,37,Henderson,89,Piedmont,5,mcrhc,4
Cherokee,39,Johnston,101,Western,1,mahpc,6
Chowan,41,Jones,103,Eastern,9,ehpc,1
Clay,43,Lee,105,Western,1,mahpc,6
Cleveland,45,Lenoir,107,Western,4,mhpc,7
Columbus,47,Moore,125,Eastern,8,shpr,2
Craven,49,Nash,127,Eastern,10,ehpc,1
Cumberland,51,New Hanover,129,Eastern,6,mcrhc,3
Currituck,53,Onslow,133,Eastern,9,ehpc,1
Dare,55,Orange,135,Eastern,9,ehpc,1
Davidson,57,Person,145,Piedmont,3,thpc,5
Davie,59,Pitt,147,Piedmont,3,thpc,5
Duplin,61,Polk,149,Eastern,8,ehpc,2
Durham,63,Randolph,151,Piedmont,5,dhpc,4
Edgecombe,65,Robeson,155,Eastern,7,ehpc,1
Forsyth,67,Rutherford,161,Piedmont,3,thpc,5
Franklin,69,Sampson,163,Piedmont,7,caprac,4
Gaston,71,Transylvania,175,Piedmont,4,mhpc,7
Gates,73,Wake,183,Eastern,9,ehpc,1
Graham,75,Watauga,189,Western,1,mahpc,6
Granville,77,Wayne,191,Piedmont,7,dhpc,4
Greene,79,Wilkes,193,Eastern,10,ehpc,1
Guilford,81,Wilson,195,Piedmont,5,thpc,5
Halifax,83,,,Eastern,7,ehpc,1
Harnett,85,,,Eastern,6,caprac,3
Haywood,87,,,Western,1,mahpc,6
Henderson,89,,,Western,2,mahpc,6
Hertford,91,,,Eastern,9,ehpc,1
Hoke,93,,,Eastern,6,mcrhc,3
Hyde,95,,,Eastern,9,ehpc,1
Iredell,97,,,Piedmont,4,thpc,7
Jackson,99,,,Western,1,mahpc,6
Johnston,101,,,Eastern,7,caprac,3
Jones,103,,,Eastern,10,ehpc,1
Lee,105,,,Piedmont,6,caprac,3
Lenoir,107,,,Eastern,10,ehpc,1
Lincoln,109,,,Piedmont,4,mhpc,7
Macon,113,,,Western,1,mahpc,6
Madison,115,,,Western,2,mahpc,6
Martin,117,,,Eastern,9,ehpc,1
McDowell,111,,,Western,2,mahpc,6
Mecklenburg,119,,,Piedmont,4,mhpc,7
Mitchell,121,,,Western,2,mahpc,6
Montgomery,123,,,Piedmont,6,mcrhc,5
Moore,125,,,Piedmont,6,mcrhc,3
Nash,127,,,Eastern,7,ehpc,1
New Hanover,129,,,Eastern,8,shpr,2
Northampton,131,,,Eastern,9,ehpc,1
Onslow,133,,,Eastern,8,ehpc,2
Orange,135,,,Piedmont,5,mcrhc,4
Pamlico,137,,,Eastern,10,ehpc,1
Pasquotank,139,,,Eastern,9,ehpc,1
Pender,141,,,Eastern,8,shpr,2
Perquimans,143,,,Eastern,9,ehpc,1
Person,145,,,Piedmont,5,dhpc,4
Pitt,147,,,Eastern,10,ehpc,1
Polk,149,,,Western,2,mahpc,6
Randolph,151,,,Piedmont,5,thpc,5
Richmond,153,,,Piedmont,6,mhpc,3
Robeson,155,,,Eastern,8,dhpc,3
Rockingham,157,,,Piedmont,5,thpc,5
Rowan,159,,,Piedmont,4,mhpc,7
Rutherford,161,,,Western,2,mahpc,6
Sampson,163,,,Eastern,8,mcrhc,3
Scotland,165,,,Eastern,6,mhpc,3
Stanly,167,,,Piedmont,4,mhpc,7
Stokes,169,,,Piedmont,3,thpc,5
Surry,171,,,Piedmont,3,thpc,5
Swain,173,,,Western,1,mahpc,6
Transylvania,175,,,Western,1,mahpc,6
Tyrrell,177,,,Eastern,9,ehpc,1
Union,179,,,Piedmont,4,mhpc,7
Vance,181,,,Piedmont,7,dhpc,4
Wake,183,,,Piedmont,7,caprac,4
Warren,185,,,Piedmont,7,mcrhc,4
Washington,187,,,Eastern,9,ehpc,1
Watauga,189,,,Western,3,thpc,5
Wayne,191,,,Eastern,10,ehpc,3
Wilkes,193,,,Western,3,thpc,5
Wilson,195,,,Eastern,7,ehpc,1
Yadkin,197,,,Piedmont,3,thpc,5
Yancey,199,,,Western,2,mahpc,6
