Include,Name,UNC,County,LAT,LON,ptorg name,Licensed Name (2017),Facility_ID,Beds,ICU Beds
1,Alamance Regional Medical Center,0,Alamance,36.0612027,-79.5017657,Alamance Regional Medical Center,Alamance Regional Medical Center,954565,182,32
1,Alleghany Memorial Hospital,0,Alleghany,36.5094773,-81.1146651,Alleghany Memorial Hospital,Alleghany Memorial Hospital,942935,41,4
1,Angel Medical Center,0,Macon,35.18455285,-83.37914859,Angel Medical Center,"Angel Medical Center, Inc.",942938,59,6
1,Annie Penn Hospital,0,Rockingham,36.35378,-79.66626,Annie Penn Hospital,Annie Penn Hospital,932940,110,8
1,Anson County Hospital,0,Anson,34.97751385,-80.11005802,Anson County Hospital,Carolinas HealthCare System Anson,120335,15,0
1,Ashe Memorial Hospital,0,Ashe,36.4234688,-81.45782192,Ashe Memorial Hospital,"Ashe Memorial Hospital, Inc.",942944,76,8
1,Betsy Johnson Hospital,0,Harnett,35.3068297,-78.6347374,Betsy Johnson Hospital,Betsy Johnson  Hospital,922969,151,6
1,Blue Ridge HealthCare Hospitals,0,Burke,35.726315,-81.654694,Blue Ridge Healthcare Hospitals,Carolinas HealthCare System Blue Ridge,943191,293,16
1,Blue Ridge Regional Hospital,0,Mitchell,35.91149025,-82.06207583,Blue Ridge Regional Hospital,"Blue Ridge Regional Hospital, Inc",953466,46,5
1,CMC - Pineville,0,Mecklenburg,35.09203755,-80.87159653,Pineville Patient County Of Residence By Hospital,Carolinas HealthCare System Pineville,110878,206,40
1,Caldwell Memorial Hospital,1,Caldwell,35.91059635,-81.53513749,Caldwell Memorial Hospital,"Caldwell Memorial Hospital, Inc.",933051,110,12
1,Cape Fear Valley Health System,0,Cumberland,35.0318114,-78.933272,Cape Fear Valley Health System,Cape Fear Valley Medical Center,943057,524,69
1,Cape Fear Valley Hoke Hospital,0,Hoke,35.029919,-79.107269,Cape Fear Valley Hoke Hospital,Cape Fear Valley Hoke Hospital,100392,41,4
1,Cape Fear Valley-Bladen County Hospital,0,Bladen,34.62262,-78.608017,Cape Fear Valley-Bladen County Hospital,Cape Fear Valley-Bladen County Hospital,942974,48,5
1,CaroMont Regional Medical Center,0,Gaston,35.27215775,-81.13954344,Caromont Regional Medical Center,Caromont Regional Medical Center,943184,372,37
1,CarolinaEast Medical Center,0,Craven,35.11381805,-77.06627783,Carolinaeast Medical Center,CarolinaEast Medical Center,923126,307,33
1,Carolinas HealthCare System Carolinas Medical Center,0,Mecklenburg,35.203457,-80.83857,Carolinas Healthcare System Carolinas Medical Center,Carolinas Medical Center/Center for Mental Health,943070,1010,222
1,Carolinas HealthCare System Kings Mountain Hospital,0,Cleveland,35.2417273,-81.35685883,Carolinas Healthcare System Kings Mountain Hospital,Carolinas HealthCare System Kings Mountain,943292,47,0
1,Carolinas HealthCare System University Hospital,0,Mecklenburg,35.3054619,-80.74690396,Carolinas Healthcare System University Hospital,Carolinas HealthCare System University,923516,100,15
1,Carolinas Medical Center - Lincoln,0,Lincoln,35.4900947,-81.20307636,Lincoln Patient County Of Residence By Hospital,Carolinas HealthCare System Lincoln,70062,101,10
1,Carolinas Medical Center Northeast,0,Cabarrus,35.4375493,-80.6020838,Carolinas Medical Center Northeast,Carolinas HealthCare System NorthEast,943049,447,69
1,Carteret County General Hospital,0,Carteret,34.7258964,-76.75520666,Carteret County General Hospital,Carteret General Hospital,923076,135,0
1,Catawba Valley Medical Center,0,Catawba,35.713734,-81.267334,Catawba Valley Medical Center,Catawba Valley Medical Center,933080,200,36
1,Central Carolina Hospital,0,Lee,35.46909645,-79.18688403,Central Carolina Hospital,Central Carolina Hospital,953084,127,10
1,Central Harnett Health,0,Harnett,35.425739,-78.807976,Central Harnett Health,Central Harnett Health,,100,10
1,Charles A. Cannon Jr. Memorial Hospital,0,Avery,36.060516,-81.889259,Charles A. Cannon Jr. Memorial Hospital,"Charles A. Cannon, Jr. Memorial Hospital, Incorporated",943054,30,3
1,Chatham Hospital,1,Chatham,35.72282835,-79.42112556,Chatham Hospital,"Chatham Hospital, Inc.",933098,25,3
1,Cleveland Regional Medical Center,0,Cleveland,35.302834,-81.53566,Cleveland Regional Medical Center,Carolinas HealthCare System Cleveland,953106,241,18
1,Columbus Regional Healthcare System,0,Columbus,34.33734065,-78.69445306,Columbus Regional Healthcare System,Columbus Regional Healthcare System,923111,154,9
1,Cone Health,0,Guilford,36.043952,-79.96505773,Cone Health,Cone Health,943494,777,124
1,Davie County Hospital,0,Davie,35.899555,-80.571938,Davie County Hospital,Davie Medical Center,80175,50,5
1,Davis Medical Center,0,Iredell,35.8191549,-80.82917194,Davis Medical Center,Davis Regional Medical Center,923134,50,8
1,Duke Raleigh,0,Wake,35.82859565,-78.61794743,Duke Raleigh,Duke Raleigh Hospital,923421,186,15
1,Duke Regional Hospital,0,Durham,36.03649455,-78.89963755,Duke Regional Hospital,Duke Regional Hospital,923142,316,28
1,Duke University Medical Center,0,Durham,36.0070213,-78.93734788,Duke University Medical Center,Duke University Hospital,943138,938,252
1,First Health Montgomery Hospital,0,Montgomery,35.3647651,-79.89068812,First Health Montgomery Hospital,FirstHealth Montgomery Memorial Hospital,923355,37,4
1,First Health Moore Regional Hospital,0,Moore,35.205566,-79.456421,First Health Moore Regional Hospital,FirstHealth Moore Reg. Hosp. and Pinehurst Treatment,943358,337,57
1,First Health Richmond Memorial Hospital,0,Richmond,34.928806,-79.749695,First Health Richmond Memorial Hospital,FirstHealth Moore Regional Hospital-Richmond,933431,99,12
0,FirstHealth Moore Regional Hospital - Hamlet,0,Richmond,34.90178,-79.708411,Hamlet Patient County Of Residence By Hospital,FirstHealth Moore Regional Hospital-Hamlet,195,54,5
1,FirstHealth Moore Regional Hospital - Hoke Campus,0,Hoke,35.02033965,-79.1502175,Hoke Campus Patient County Of Residence By Hospital,FirstHealth Moore Regional Hospital - Hoke Campus,100390,8,0
1,Frye Regional Medical Center,0,Catawba,35.7373084,-81.33809331,Frye Regional Medical Center,Frye Regional Medical Center,943182,209,30
1,Granville Health System,0,Granville,36.3270928,-78.59215043,Granville Health System,Granville Health System,943195,62,6
1,Halifax Regional Medical Center,0,Halifax,36.4324228,-77.64626592,Halifax Regional Medical Center,"Halifax Regional Medical Center, Inc.",923223,184,8
1,Haywood Regional Medical Center,0,Haywood,35.5252312,-82.9427378,Haywood Regional Medical Center,Haywood Regional Medical Center,933234,126,10
1,High Point Regional Hospital,1,Guilford,35.962532,-80.014114,High Point Regional Hospital,High Point Regional Health,943251,307,28
1,Highlands-Cashiers Hospital,0,Macon,35.0863677,-83.18570452,Highlands-Cashiers Hospital,"Highlands-Cashiers Hospital, Inc.",943256,24,2
1,Hugh Chatham Memorial Hospital,0,Surry,36.2618023,-80.83910119,Hugh Chatham Memorial Hospital,"Hugh Chatham Memorial Hospital, Inc.",923276,81,8
1,Iredell Health System,0,Iredell,35.80037305,-80.87873772,Iredell Health System,"Iredell Memorial Hospital, Incorporated",933284,199,16
1,J. Arthur Dosher Memorial Hospital,0,Brunswick,33.92933025,-78.02137632,J. Arthur Dosher Memorial Hospital,J. Arthur Dosher Memorial Hospital,923286,25,3
1,Johnston Health Clayton,1,Johnston,35.64164,-78.47246,Johnston Health Clayton,Johnston Health,943290,179,16
1,Johnston Health Smithfield,1,Smithfield,35.513229,-78.333717,Johnston Health Smithfield,Johnston Health,943290,179,16
1,Lake Norman Regional Medical Center,0,Iredell,35.5493162,-80.85379414,Lake Norman Regional Medical Center,Lake Norman Regional Medical Center,990475,123,12
1,Lenoir Memorial Hospital,1,Lenoir,35.2904187,-77.58361715,Lenoir Memorial Hospital,UNC Lenoir Health Care,933304,218,14
1,Lexington Memorial Hospital,0,Davidson,35.80575965,-80.28693632,Lexington Memorial Hospital,Lexington Medical Center,943307,94,9
1,LifeBrite Community Hospital of Stokes,0,Stokes,36.418053,-80.230896,Lifebrite Community Hospital Of Stokes,LifeBrite Community Hospital of Stokes,943474,53,5
1,Margaret R. Pardee Memorial Hospital,1,Henderson,35.320967,-82.467171,Margaret R. Pardee Memorial Hospital,Margaret R. Pardee Memorial Hospital,943324,201,20
1,Maria Parham Hospital,0,Vance,36.3310103,-78.44955313,Maria Parham Hospital,Maria Parham  Medical Center,943326,91,8
1,Martin General Hospital,0,Martin,35.8396528,-77.07213121,Martin General Hospital,Martin General Hospital,943328,49,6
1,McDowell Hospital,0,McDowell,35.622311,-81.985718,Mcdowell Hospital,The McDowell Hospital,943492,65,6
1,MedWest Harris,0,Jackson,35.3854052,-83.20260902,Medwest Harris,Harris Regional Hospital,923046,86,9
1,MedWest Swain,0,Swain,35.43446,-83.444763,Medwest Swain,Swain Community Hospital,923480,48,5
1,Mission Hospital,0,Buncombe,35.5766889,-82.54922486,Mission Hospital,Mission Hospital,943349,708,131
