Facility_ID,Name,Category,Beds,ICU_Beds,LAT,LON
932930,Alamance Health Care Center,NH,180,0,36.09963588,-79.40342331
1655,Edgewood Place at the Village at Brookwood,NH,129,0,36.093385,-79.462537
960494,Liberty Commons Nursing & Rehab Ctr of Alamance Cty,NH,138,0,36.072521,-79.502814
150231,Peak Resources - Alamance,NH,120,0,36.076331,-79.40499229
923499,The Presbyterian Home of Hawfields Inc,NH,117,0,36.05404,-79.315344
923513,Twin Lakes Community,NH,104,0,36.08291,-79.521945
61418,Twin Lakes Community Memory Care,NH,32,0,36.084478,-79.518846
953553,White Oak Manor-Burlington,NH,160,0,36.10094,-79.419614
953152,Valley Nursing Center,NH,183,0,35.917803,-81.177955
923249,Alleghany Center,NH,90,0,36.5055926,-81.12547571
923526,Ambassador Rehab & Healthcare Center,NH,119,0,34.94385016,-80.05192544
140184,Anson Health and Rehabilitation,NH,95,0,34.96104043,-80.07743585
923151,Margate Health and Rehab Center,NH,210,0,36.42393081,-81.45615566
923310,Life Care Center of Banner Elk,NH,118,0,36.135286,-81.848959
923432,Ridgewood Living & Rehabilitation Center,NH,150,0,35.5502934,-77.0343389
923036,River Trace Nursing and Rehabilitation Center,NH,150,0,35.550379,-77.0357032
922993,Brian Center Health & Rehabilitation/Windsor,NH,82,0,35.98942063,-76.93060088
953224,Three Rivers Health and Rehab,NH,80,0,35.987113,-76.9286
943301,Bladen East Health and Rehab,NH,120,0,34.62026762,-78.61107943
923150,Elizabethtown Healthcare & Rehabilitation Center,NH,94,0,34.621681,-78.606158
922957,Autumn Care of Shallotte,NH,140,0,33.97699342,-78.38851875
923043,Brunswick Cove Nursing Center,NH,215,0,34.185683,-77.987621
70820,Brunswick Health & Rehab Center,NH,100,0,33.953889,-78.598015
923382,Ocean Trail Healthcare & Rehabilitation Center,NH,116,0,33.930724,-78.020299
160256,Southport Nursing Center,NH,64,0,33.92933025,-78.02137632
50906,Universal Health Care/Brunswick,NH,90,0,34.062948,-78.151848
923265,Asheland Ridge Health Center,NH,120,0,35.576717,-82.551956
952947,Asheville Health Care Center,NH,106,0,35.594001,-82.432587
922948,Aston Park Health Care Center Inc,NH,139,0,35.562613,-82.595038
952991,Brian Center Health & Rehabilitation/Weaverville,NH,132,0,35.7049593,-82.573467
923041,Brooks-Howell Home,NH,58,0,35.5994855,-82.5539301
922979,Complete Care at Asheville,NH,77,0,35.642105,-82.528758
923135,Deerfield Episcopal Retirement Community Inc,NH,124,0,35.5141998,-82.527404
923161,Emerald Ridge Rehabilitation and Care Center,NH,114,0,35.589294,-82.554791
923171,Flesher's Fairview Health Care Center Inc,NH,120,0,35.50652759,-82.41684032
923490,Givens Health Center,NH,84,0,35.4608641,-82.5116553
923253,Givens Highland Farms,NH,90,0,35.6102324,-82.3464353
922973,Mountain Ridge Health and Rehab,NH,100,0,35.6108971,-82.3371018
90964,NC State Veterans Home-Black Mountain,NH,100,0,35.622629,-82.366684
120033,Pisgah Manor Health Care Center,NH,118,0,35.571554,-82.672026
923521,StoneCreek Health and Rehabilitation,NH,120,0,35.56619434,-82.5564293
923203,The Laurels of GreenTree Ridge,NH,100,0,35.5635366,-82.53158816
923279,The Laurels of Summit Ridge,NH,112,0,35.59030334,-82.48624646
923157,The Oaks at Sweeten Creek,NH,114,0,35.4606405,-82.5116806
933548,Western North Carolina Baptist Home,NH,150,0,35.613163,-82.584165
922950,Autumn Care of Drexel,NH,120,0,35.760348,-81.600164
