County,Date,New cases,Total cases
Alamance,2020-03-19,1,1
Alamance,2020-03-21,1,2
Alamance,2020-03-25,1,3
Alamance,2020-03-26,2,5
Alamance,2020-03-28,2,7
Alamance,2020-03-30,1,8
Alamance,2020-03-31,1,9
Alamance,2020-04-01,5,14
Alamance,2020-04-02,4,18
Alamance,2020-04-04,2,20
Alamance,2020-04-05,1,21
Alamance,2020-04-06,8,29
Alamance,2020-04-07,1,30
Alamance,2020-04-08,3,33
Alamance,2020-04-09,3,36
Alamance,2020-04-10,2,38
Alamance,2020-04-11,2,40
Alamance,2020-04-13,2,42
Alamance,2020-04-15,3,45
Alamance,2020-04-16,3,48
Alamance,2020-04-18,2,50
Alamance,2020-04-19,3,53
Alamance,2020-04-20,4,57
Alamance,2020-04-21,3,60
Alamance,2020-04-22,5,65
Alamance,2020-04-23,8,73
Alamance,2020-04-24,5,78
Alamance,2020-04-25,4,82
Alamance,2020-04-26,7,89
Alamance,2020-04-27,3,92
Alamance,2020-04-28,2,94
Alamance,2020-04-29,5,99
Alamance,2020-04-30,7,106
Alamance,2020-05-01,12,118
Alamance,2020-05-02,5,123
Alamance,2020-05-03,1,124
Alamance,2020-05-04,4,128
Alamance,2020-05-05,1,129
Alamance,2020-05-06,18,147
Alamance,2020-05-07,2,149
Alamance,2020-05-08,3,152
Alamance,2020-05-09,21,173
Alamance,2020-05-10,5,178
Alamance,2020-05-11,7,185
Alamance,2020-05-12,6,191
Alamance,2020-05-13,8,199
Alamance,2020-05-14,9,208
Alamance,2020-05-15,18,226
Alamance,2020-05-16,3,229
Alamance,2020-05-17,3,232
Alamance,2020-05-18,10,242
Alamance,2020-05-19,10,252
Alamance,2020-05-20,12,264
Alamance,2020-05-21,7,271
Alamance,2020-05-22,11,282
Alamance,2020-05-23,4,286
Alamance,2020-05-24,9,295
Alamance,2020-05-25,8,303
Alamance,2020-05-26,10,313
Alamance,2020-05-27,4,317
Alamance,2020-05-28,27,344
Alamance,2020-05-29,16,360
Alamance,2020-05-30,17,377
Alamance,2020-05-31,13,390
Alamance,2020-06-01,10,400
Alamance,2020-06-02,7,407
Alamance,2020-06-03,21,428
Alamance,2020-06-04,28,456
Alamance,2020-06-05,18,474
Alamance,2020-06-06,13,487
Alamance,2020-06-07,36,523
Alamance,2020-06-08,28,551
Alamance,2020-06-09,25,576
Alamance,2020-06-10,44,620
Alamance,2020-06-11,50,670
Alamance,2020-06-12,53,723
Alamance,2020-06-13,41,764
Alamance,2020-06-14,40,804
Alamance,2020-06-15,17,821
Alamance,2020-06-16,11,832
Alamance,2020-06-17,25,857
Alamance,2020-06-18,45,902
Alamance,2020-06-19,32,934
Alamance,2020-06-20,21,955
Alamance,2020-06-21,19,974
Alamance,2020-06-22,10,984
Alamance,2020-06-23,22,1006
Alamance,2020-06-24,23,1029
Alamance,2020-06-25,29,1058
Alamance,2020-06-26,18,1076
Alamance,2020-06-27,24,1100
Alamance,2020-06-28,25,1125
Alamance,2020-06-29,12,1137
Alamance,2020-06-30,43,1180
Alamance,2020-07-01,14,1194
Alamance,2020-07-02,40,1234
Alamance,2020-07-03,38,1272
Alamance,2020-07-04,37,1309
Alamance,2020-07-05,18,1327
Alamance,2020-07-06,12,1339
Alamance,2020-07-07,24,1363
Alamance,2020-07-08,35,1398
Alamance,2020-07-09,20,1418
Alamance,2020-07-10,9,1427
Alamance,2020-07-11,45,1472
Alamance,2020-07-12,25,1497
Alamance,2020-07-13,27,1524
Alamance,2020-07-14,54,1578
Alamance,2020-07-15,30,1608
Alamance,2020-07-16,34,1642
Alamance,2020-07-17,44,1686
Alamance,2020-07-18,21,1707
Alamance,2020-07-19,45,1752
Alamance,2020-07-20,18,1770
Alamance,2020-07-21,48,1818
Alamance,2020-07-22,49,1867
Alamance,2020-07-23,49,1916
Alamance,2020-07-24,32,1948
Alamance,2020-07-25,22,1970
Alamance,2020-07-26,28,1998
Alamance,2020-07-27,64,2062
Alamance,2020-07-28,15,2077
Alamance,2020-07-29,58,2135
Alamance,2020-07-30,38,2173
Alamance,2020-07-31,30,2203
Alamance,2020-08-01,28,2231
Alamance,2020-08-02,51,2282
Alamance,2020-08-03,19,2301
Alamance,2020-08-04,23,2324
Alamance,2020-08-05,40,2364
Alamance,2020-08-06,20,2384
Alamance,2020-08-07,46,2430
Alamance,2020-08-08,44,2474
Alamance,2020-08-09,28,2502
Alamance,2020-08-10,19,2521
Alamance,2020-08-11,33,2554
Alamance,2020-08-12,42,2596
Alamance,2020-08-13,25,2621
Alamance,2020-08-14,24,2645
Alamance,2020-08-15,34,2679
Alamance,2020-08-16,20,2699
Alamance,2020-08-17,26,2725
Alamance,2020-08-18,22,2747
Alamance,2020-08-19,46,2793
Alamance,2020-08-20,34,2827
Alamance,2020-08-21,45,2872
Alamance,2020-08-22,40,2912
Alamance,2020-08-23,47,2959
Alamance,2020-08-24,16,2975
Alamance,2020-08-25,26,3001
Alamance,2020-08-26,46,3047
Alamance,2020-08-27,19,3066
Alamance,2020-08-28,25,3091
Alamance,2020-08-29,124,3215
Alamance,2020-08-30,17,3232
Alamance,2020-08-31,20,3252
Alamance,2020-09-01,25,3277
Alamance,2020-09-02,27,3304
Alamance,2020-09-03,43,3347
Alamance,2020-09-04,44,3391
Alamance,2020-09-05,16,3407
Alamance,2020-09-06,19,3426
Alamance,2020-09-07,11,3437
Alamance,2020-09-08,12,3449
Alamance,2020-09-09,22,3471
Alamance,2020-09-10,47,3518
Alamance,2020-09-11,21,3539
Alamance,2020-09-12,37,3576
Alamance,2020-09-13,10,3586
Alamance,2020-09-14,13,3599
Alamance,2020-09-15,26,3625
Alamance,2020-09-16,25,3650
Alamance,2020-09-17,58,3708
Alamance,2020-09-18,37,3745
Alamance,2020-09-19,34,3779
Alamance,2020-09-20,16,3795
Alamance,2020-09-21,27,3822
Alamance,2020-09-22,26,3848
Alamance,2020-09-23,51,3899
Alamance,2020-09-24,25,3924
Alamance,2020-09-25,38,3962
Alamance,2020-09-26,15,3977
Alamance,2020-09-27,15,3992
Alamance,2020-09-28,12,4004
Alamance,2020-09-29,18,4022
Alamance,2020-09-30,57,4079
Alamance,2020-10-01,39,4118
Alamance,2020-10-02,33,4151
Alamance,2020-10-03,18,4169
Alamance,2020-10-04,20,4189
Alamance,2020-10-05,23,4212
Alamance,2020-10-06,21,4233
Alamance,2020-10-07,72,4305
Alamance,2020-10-08,34,4339
Alamance,2020-10-09,62,4401
Alamance,2020-10-10,40,4441
Alamance,2020-10-11,37,4478
Alamance,2020-10-12,26,4504
Alamance,2020-10-13,37,4541
Alamance,2020-10-14,43,4584
Alamance,2020-10-15,125,4709
Alamance,2020-10-16,58,4767
Alamance,2020-10-17,27,4794
Alamance,2020-10-18,35,4829
Alamance,2020-10-19,14,4843
Alamance,2020-10-20,21,4864
